iter	Passed	Remaining
1137	23915	7607
1138	23935	7586
1139	23956	7565
1140	23975	7543
1141	23995	7522
1142	24014	7500
1143	24034	7479
1144	24054	7458
1145	24074	7436
1146	24093	7415
1147	24113	7393
1148	24132	7372
1149	24153	7351
1150	24171	7329
1151	24193	7308
1152	24212	7286
1153	24232	7265
1154	24251	7244
1155	24271	7222
1156	24290	7201
1157	24310	7179
1158	24330	7158
1159	24350	7137
1160	24369	7115
1161	24390	7094
1162	24410	7073
1163	24430	7052
1164	24450	7030
1165	24470	7009
1166	24491	6988
1167	24513	6967
1168	24531	6946
1169	24550	6924
1170	24568	6902
1171	24589	6881
1172	24609	6860
1173	24630	6839
1174	24649	6817
1175	24669	6796
1176	24688	6775
1177	24708	6753
1178	24731	6733
1179	24753	6712
1180	24772	6691
1181	24793	6670
1182	24814	6649
1183	24839	6629
1184	24860	6608
1185	24880	6587
1186	24900	6566
1187	24928	6546
1188	24950	6526
1189	24969	6504
1190	24989	6483
1191	25010	6462
1192	25031	6441
1193	25052	6420
1194	25071	6399
1195	25090	6377
1196	25110	6356
1197	25132	6335
1198	25158	6315
1199	25178	6294
1200	25200	6273
1201	25220	6252
1202	25247	6233
1203	25273	6213
1204	25293	6192
1205	25315	6171
1206	25337	6150
1207	25357	6129
1208	25376	6108
1209	25396	6086
1210	25417	6065
1211	25437	6044
1212	25458	6023
1213	25478	6002
1214	25497	5980
1215	25517	5959
1216	25537	5938
1217	25557	5917
1218	25576	5895
1219	25598	5875
1220	25619	5853
1221	25638	5832
1222	25659	5811
1223	25678	5790
1224	25697	5768
1225	25717	5747
1226	25738	5726
1227	25758	5705
1228	25780	5684
1229	25800	5663
1230	25821	5642
1231	25846	5622
1232	25866	5601
1233	25885	5579
1234	25908	5559
1235	25930	5538
1236	25951	5517
1237	25970	5496
1238	25990	5474
1239	26010	5453
1240	26032	5433
1241	26053	5412
1242	26074	5391
1243	26092	5369
1244	26113	5348
1245	26134	5327
1246	26155	5306
1247	26175	5285
1248	26196	5264
1249	26215	5243
1250	26238	5222
1251	26259	5201
1252	26279	5180
1253	26300	5159
1254	26321	5138
1255	26341	5117
1256	26362	5096
1257	26381	5074
1258	26402	5053
1259	26422	5032
1260	26443	5011
1261	26463	4990
1262	26486	4970
1263	26510	4949
1264	26538	4930
1265	26559	4909
1266	26579	4887
1267	26599	4866
1268	26621	4846
1269	26649	4826
1270	26669	4805
1271	26691	4784
1272	26716	4763
1273	26740	4743
1274	26760	4722
1275	26780	4701
1276	26800	4680
1277	26821	4659
1278	26841	4638
1279	26864	4617
1280	26883	4595
1281	26914	4576
1282	26939	4556
1283	26960	4535
1284	26985	4515
1285	27012	4495
1286	27037	4474
1287	27064	4454
1288	27083	4433
1289	27105	4412
1290	27129	4392
1291	27157	4372
1292	27177	4350
1293	27196	4329
1294	27217	4308
1295	27237	4287
1296	27257	4266
1297	27277	4244
1298	27298	4224
1299	27318	4202
1300	27338	4181
1301	27359	4160
1302	27378	4139
1303	27398	4118
1304	27419	4097
1305	27438	4075
1306	27458	4054
1307	27477	4033
1308	27499	4012
1309	27519	3991
1310	27540	3970
1311	27561	3949
1312	27581	3928
1313	27602	3907
1314	27626	3886
1315	27646	3865
1316	27668	3844
1317	27688	3823
1318	27708	3802
1319	27729	3781
1320	27749	3760
1321	27769	3739
1322	27792	3718
1323	27812	3697
1324	27831	3675
1325	27852	3654
1326	27872	3633
1327	27893	3612
1328	27913	3591
1329	27934	3570
1330	27955	3549
1331	27977	3528
1332	27998	3507
1333	28021	3486
1334	28041	3465
1335	28061	3444
1336	28081	3423
1337	28102	3402
1338	28123	3381
1339	28144	3360
1340	28165	3339
1341	28185	3318
1342	28206	3297
1343	28226	3276
1344	28246	3255
1345	28267	3234
1346	28289	3213
1347	28310	3192
1348	28331	3171
1349	28351	3150
1350	28372	3129
1351	28396	3108
1352	28416	3087
1353	28436	3066
1354	28456	3045
1355	28475	3023
1356	28497	3003
1357	28518	2982
1358	28539	2961
1359	28561	2940
1360	28587	2919
1361	28609	2898
1362	28631	2877
1363	28654	2857
1364	28673	2835
1365	28694	2814
1366	28715	2793
1367	28743	2773
1368	28763	2752
1369	28783	2731
1370	28805	2710
1371	28825	2689
1372	28845	2668
1373	28866	2647
1374	28892	2626
1375	28912	2605
1376	28933	2584
1377	28954	2563
1378	28974	2542
1379	28994	2521
1380	29016	2500
1381	29037	2479
1382	29058	2458
1383	29079	2437
1384	29101	2416
1385	29122	2395
1386	29144	2374
1387	29164	2353
1388	29184	2332
1389	29205	2311
1390	29225	2290
1391	29245	2269
1392	29266	2248
1393	29289	2227
1394	29316	2206
1395	29336	2185
1396	29358	2164
1397	29378	2143
1398	29399	2122
1399	29419	2101
1400	29439	2080
1401	29459	2059
1402	29479	2038
1403	29500	2017
1404	29522	1996
1405	29542	1975
1406	29562	1954
1407	29581	1932
1408	29602	1911
1409	29623	1890
1410	29642	1869
1411	29666	1848
1412	29687	1827
1413	29707	1806
1414	29726	1785
1415	29747	1764
1416	29766	1743
1417	29786	1722
1418	29807	1701
1419	29829	1680
1420	29849	1659
1421	29868	1638
1422	29889	1617
1423	29911	1596
1424	29931	1575
1425	29952	1554
1426	29972	1533
1427	29992	1512
1428	30012	1491
1429	30032	1470
1430	30052	1449
1431	30075	1428
1432	30099	1407
1433	30121	1386
1434	30142	1365
1435	30163	1344
1436	30183	1323
1437	30204	1302
1438	30226	1281
1439	30246	1260
1440	30267	1239
1441	30287	1218
1442	30310	1197
1443	30330	1176
1444	30350	1155
1445	30370	1134
1446	30392	1113
1447	30412	1092
1448	30432	1071
1449	30451	1050
1450	30471	1029
1451	30493	1008
1452	30519	987
1453	30544	966
1454	30564	945
1455	30584	924
1456	30605	903
1457	30626	882
1458	30645	861
1459	30665	840
1460	30686	819
1461	30707	798
1462	30729	777
1463	30749	756
1464	30770	735
1465	30788	714
1466	30811	693
1467	30830	672
1468	30850	651
1469	30869	629
1470	30890	608
1471	30911	587
1472	30930	566
1473	30953	545
1474	30971	524
1475	30994	503
1476	31014	482
1477	31034	461
1478	31054	440
1479	31074	419
1480	31094	398
1481	31113	377
1482	31133	356
1483	31152	335
1484	31172	314
1485	31192	293
1486	31211	272
1487	31232	251
1488	31251	230
1489	31271	209
1490	31292	188
1491	31313	167
1492	31336	146
1493	31356	125
1494	31375	104
1495	31396	83
1496	31415	62
1497	31436	41
1498	31457	20
1499	31478	0
